code;title;category;compensation_percent;limit_amount;description;links;application_period;notes
IND_GROW;Грант «Доращивание»;Промышленность;;250000000;"Грант на развитие технологических компаний";"https://inno-sc.ru/grants/growing/";до 15.09.25;
IND_OILGAS;Грант «Нефтегазовое и энергетическое оборудование»;Промышленность;;1500000000;"Грант на проекты в нефтегазовом оборудовании";"https://inno-sc.ru/grants/programs/neftegas/";до 29.09.25;
IND_TRANSMASH;Грант «Транспортное машиностроение»;Промышленность;;500000000;"Грант на проекты транспортного машиностроения";"https://inno-sc.ru/grants/programs/transmash/";29.09.25;
IND_RND;Новые технологии — НИОКР для промпредприятий;Промышленность;70;;"Компенсация НИОКР по современным технологиям";"https://gisp.gov.ru/nmp/measure/10902608";09.06.25–09.07.25;

TECHNOPARK;Субсидии на технопарки;Промышленность;;; "Компенсация затрат на инфраструктуру промышленных парков";"https://gisp.gov.ru/nmp/measure/12447919";;Конкурс не объявлен

CAPEX_AGRO;Субсидия на создание и модернизацию объектов АПК;АПК;;; "Компенсация затрат на создание/модернизацию объектов АПК";"https://mcx.gov.ru/activity/state-support/measures/building-compensation/";;
CAPEX_AGRO_PROC;Субсидия на переработку сельхозпродукции;АПК;25;;"Компенсация расходов на переработку сельхозпродукции";"https://mcx.gov.ru/upload/iblock/9b3/9b37dc3e5199841daca022cb9f4423a3.pdf";;
AGRO_MELIORATION;Субсидия на мелиорацию;АПК;50;;"Компенсация затрат на мелиоративные мероприятия";"https://mcx.gov.ru/ministry/departments/departament-melioratsii/industry-information/info-vozmeshchenie-selkhoztovaroproizvoditelyam-chasti-raskhodov-na-meliorativnye-meropriyatiya/";;

TOUR_MODULAR;Субсидия на модульные СР (туризм);Туризм;;1500000;"Финансирование строительства модульных средств размещения";"https://www.economy.gov.ru/...";;
TOUR_AGRO;Грант «Агротуризм»;Туризм;;10000000;"Развитие сельского туризма";"https://svoefermerstvo.ru/mery-podderzhki/2";;
TOUR_UNIFIED;Единая субсидия для турбизнеса;Туризм;;; "Благоустройство, маршруты, инфраструктура";"Региональные ссылки";;

MSK_EQUIP;Грант на приобретение оборудования (Москва);Москва;;30000000;"Компенсация затрат на оборудование";"https://i.moscow/grant_na_razvitie";;

MSK_PATENT_WORLD;Грант на патентование (зарубеж);Москва;;5000000;"Компенсация патентования за рубежом";"https://i.moscow/patent_world";10.07–30.09;
MSK_PATENT_RU;Грант на патентование РФ;Москва;;75000;"Компенсация патентов РФ";"https://i.moscow/ip/patent_russia";10.07–30.09;

MSK_ANGELS;Грант бизнес-ангелам;Москва;;10000000;"Грант инвесторам";"https://i.moscow/invest/angel";до 01.09.25;

MSK_EDU;Субсидия на обучение сотрудников;Москва;95;10000000;"Компенсация обучения персонала";"https://i.moscow/education_grant";;

MSK_PILOT;Грант на пилотирование инноваций;Москва;;4000000;"Грант на пилоты инноваций";"https://i.moscow/pilot/grant";17.04–29.08;

MSK_EXPORT;Экспортный грант (Москва);Москва;;10000000;"Поддержка экспортеров Москвы";"https://moscow.business/";16.04–30.05;

MO_INFRA;Компенсация инженерной инфраструктуры (МО);МО;;250000000;"Компенсация затрат на подключение инфраструктуры";"https://invest.mosreg.ru/...";;
MO_FRP;Грант Фонда развития промышленности МО;МО;;50000000;"Компенсация процентов по кредитам";"https://invest.mosreg.ru/...";;
MO_EQUIP;Субсидия на оборудование (МО);МО;;20000000;"Компенсация оборудования";"https://invest.mosreg.ru/...";01.08–31.08.25;
MO_MODERN;Модернизация и лизинг (МО);МО;50;5000000;"Компенсация при модернизации производства";"https://invest.mosreg.ru/...";28.07–26.08.25;
MO_FRANCH;Субсидия по франшизе (МО);МО;50;2000000;"Субсидия на запуск франшизы";"https://invest.mosreg.ru/...";;

NKO_PRESIDENT;Гранты Президентских грантов;НКО;;15000000;"Гранты НКО: соцподдержка, образование, экология, проекты";"https://президентскиегранты.рф";01.02–15.03;Также 01.09–15.10
MSK_MAYOR;Гранты Мэра Москвы;НКО;;5000000;"12 номинаций, широкий спектр проектов";"https://xn--80aah1beqdo5fva.xn--80adfe5b7a9ayd.xn--80adxhks/";03.06–03.07.25;
